Qty,Card,Sideboard,Companion,Player_Name,Player_Id,Tournament_Name,Tournament_Number,Player_Username
4,Chalice of the Void,0,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
1,Mind Stone,0,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
2,Dismember,0,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
4,Expedition Map,0,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
4,Eldrazi Temple,0,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
4,Urza's Mine,0,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
2,Urza's Power Plant,0,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
4,Urza's Tower,0,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
2,Urza's Power Plant,0,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
1,Ghost Quarter,0,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
1,Cavern of Souls,0,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
1,All Is Dust,0,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
2,Endbringer,0,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
4,Matter Reshaper,0,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
4,Reality Smasher,0,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
4,Thought-Knot Seer,0,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
2,Warping Wail,0,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
3,Wastes,0,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
3,Walking Ballista,0,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
1,Arch of Orazca,0,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
4,"Karn, the Great Creator",0,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
1,"Ugin, the Ineffable",0,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
2,Blast Zone,0,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
1,Ensnaring Bridge,1,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
1,Trinisphere,1,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
1,Akroma's Memorial,1,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
1,Relic of Progenitus,1,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
1,Basilisk Collar,1,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
1,Liquimetal Coating,1,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
1,Ratchet Bomb,1,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
1,Wurmcoil Engine,1,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
1,Spellskite,1,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
1,Witchbane Orb,1,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
1,Tormod's Crypt,1,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
1,Spatial Contortion,1,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
1,Walking Ballista,1,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
1,Sorcerous Spyglass,1,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
1,Sundering Titan,1,False,"","",ManaTraders Series Modern December 2020,9,kbtmtg
4,Might of Old Krosa,0,False,"","",ManaTraders Series Modern December 2020,9,fenruscloud
1,Pendelhaven,0,False,"","",ManaTraders Series Modern December 2020,9,fenruscloud
